Archivo,Matriz,Hilos,Promedio (µs),Desviación Estándar (µs)
mmClasicaOpenMP-640-Hilos-8.dat,640,8,271350.8667,23967.90273
mmClasicaOpenMP-340-Hilos-20.dat,340,20,42347.75,15246.608
mmClasicaOpenMP-640-Hilos-16.dat,640,16,281609.9333,30906.26734
mmClasicaOpenMP-640-Hilos-20.dat,640,20,275403.7,55659.48694
mmClasicaOpenMP-240-Hilos-20.dat,240,20,19953.86667,22517.757
mmClasicaOpenMP-340-Hilos-1.dat,340,1,44667.1,17357.48774
mmClasicaOpenMP-3200-Hilos-8.dat,3200,8,675869515.6,1497797359
mmClasicaOpenMP-400-Hilos-2.dat,400,2,78456.81667,42230.79563
mmClasicaOpenMP-320-Hilos-16.dat,320,16,41354.11667,17128.71779
mmClasicaOpenMP-400-Hilos-4.dat,400,4,62035.83051,20918.76192
mmClasicaOpenMP-3200-Hilos-4.dat,3200,4,1973032018,6246224054
mmClasicaOpenMP-400-Hilos-1.dat,400,1,98441.51667,26821.383
mmClasicaOpenMP-240-Hilos-4.dat,240,4,15352.76667,6724.778892
mmClasicaOpenMP-3200-Hilos-20.dat,3200,20,3111894665,11215228316
mmClasicaOpenMP-340-Hilos-4.dat,340,4,44013.25862,13596.4687
mmClasicaOpenMP-3200-Hilos-2.dat,3200,2,369878834.5,71834175.3
mmClasicaOpenMP-1280-Hilos-8.dat,1280,8,6903137.1,1227184.984
mmClasicaOpenMP-400-Hilos-20.dat,400,20,75006.5,22832.36879
mmClasicaOpenMP-320-Hilos-8.dat,320,8,37721.81667,15156.19305
mmClasicaOpenMP-240-Hilos-2.dat,240,2,18474.55,7554.622804
mmClasicaOpenMP-1280-Hilos-20.dat,1280,20,5746635.967,790775.5587
mmClasicaOpenMP-320-Hilos-20.dat,320,20,35556.16667,9793.795679
mmClasicaOpenMP-1280-Hilos-4.dat,1280,4,6807081.633,1116795.968
mmClasicaOpenMP-640-Hilos-4.dat,640,4,283322.6,103124.0784
mmClasicaOpenMP-340-Hilos-2.dat,340,2,39109.9,12557.1235
mmClasicaOpenMP-240-Hilos-16.dat,240,16,21714.1,20740.98347
mmClasicaOpenMP-1280-Hilos-16.dat,1280,16,5708513.167,463470.3569
mmClasicaOpenMP-400-Hilos-16.dat,400,16,74961.56667,20778.59706
mmClasicaOpenMP-320-Hilos-2.dat,320,2,42936.5,10871.84977
mmClasicaOpenMP-1280-Hilos-1.dat,1280,1,11427724.77,1772440.371
mmClasicaOpenMP-240-Hilos-8.dat,240,8,13924.68333,6733.465709
mmClasicaOpenMP-240-Hilos-1.dat,240,1,25886.41667,31762.33203
mmClasicaOpenMP-400-Hilos-8.dat,400,8,62696.46667,15349.78157
mmClasicaOpenMP-640-Hilos-2.dat,640,2,294994.0667,81947.81321
mmClasicaOpenMP-3200-Hilos-16.dat,3200,16,525276444,490752312.4
mmClasicaOpenMP-320-Hilos-1.dat,320,1,57542.46667,26563.14953
mmClasicaOpenMP-320-Hilos-4.dat,320,4,35766.06667,8101.107091
mmClasicaOpenMP-3200-Hilos-1.dat,3200,1,586497453.1,81669708.59
mmClasicaOpenMP-340-Hilos-8.dat,340,8,40962.64407,11665.35158
mmClasicaOpenMP-640-Hilos-1.dat,640,1,538565.2333,153654.9726
mmClasicaOpenMP-340-Hilos-16.dat,340,16,42566.51667,35907.3594
mmClasicaOpenMP-1280-Hilos-2.dat,1280,2,7867039.867,2213239.545
